LapNumber,Norris,Pastri
1,102.168,102.523
2,98.01,98.382
3,97.787,98.258
4,97.45,97.897
5,97.794,97.859
6,97.896,97.955
7,97.86,97.984
8,98.134,97.956
9,98.064,98.096
10,97.936,98.073
11,98.172,98.397
12,98.082,100.739
13,100.635,118.689
14,117.77,96.796
15,96.912,96.823
16,96.565,96.427
17,96.776,96.872
18,96.508,97.095
19,96.416,96.577
20,96.501,96.644
21,96.62,96.733
22,96.668,96.555
23,96.696,96.68
24,96.823,96.884
25,96.73,97.008
26,96.566,96.882
27,96.726,96.905
28,97.018,96.905
29,97.041,97.179
30,96.986,97.177
31,97.083,97.57
32,97.171,97.163
33,99.626,97.088
34,116.898,99.211
35,94.476,119.703
36,95.69,95.153
37,95.067,94.774
38,95.149,95.298
39,94.88,94.983
40,95.276,95.005
41,95.069,95.109
42,95.165,95.341
43,95.295,95.258
44,95.346,95.238
45,95.338,95.306
46,95.371,95.296
47,95.485,95.376
48,95.717,95.702
49,95.674,95.653
50,95.657,95.984
51,96.038,95.8
52,95.922,96.024
53,95.782,95.739
54,95.934,96.107
55,96.223,95.973
56,95.976,96.1
57,96.582,95.92
